Company Name,Address,Contact Number,Average Ratings,Review
02 Space,"Unit 330, Milelong Building,  Amorsolo corner Rufino Streets, Makati City 1230 Metro Manila ",+63(2)3176677,5,Will definitely come back! Very conducive for productivity!  :D
1 Premiere Land Marketing Company,"2/F, A.B. Sandoval Building, Oranbo Drive corner Shaw Boulevard, Pasig City 1600  Metro Manila ",+63(2)86354011,0,
1010 Building,"1010 Mabini 1010 Building, Brgy 666, City of Manila 1000 Metro Manila ",+63(2)85249440,0,
13 Technologies,"Unit 3006, One Corporate Center,  Julia Vargas Avenue corner Merlaco Avenue,  Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)76211000,0,
Commercial Space For Lease,"1141 Del Monte Avenue, Paltok, Paltok, Quezon City 1105 Metro Manila ",+63(917)3742292,0,
47 East,"47 Esteban Abada Street, Quezon City 1100 Metro Manila ",+63(2)84260189,5,"Not just a place to co-work. It's also a land of opportunity, for new work, new projects, new connections, and new friends. :)"
500 Shaw Centrum,"Shaw Boulevard, Mandaluyong City 1550 Metro Manila ",+63(2)84704712,0,
8 Adriatico Tower,"Padre Faura Street corner J. Bocobo Street, Malate, City of Manila 1004 Metro Manila ",+63(2)76221854,0,
"828 Properties, Incorporated","Lakeside Evozone Road, Nuvali Estate, Santa Rosa City, Laguna ",+63(49)5084828,0,
A J S Cebu Development,"Wilson Square Building, 199 Wilson Street corner P. Guevarra, San Juan City 1500 Metro Manila ",+63(2)89111122,0,
Acceler8,"7/F, Finman Building, 131 Tordesillas Street, Salcedo Village, Makati City 1227 Metro Manila ",+63(2)79178118,5,Thank You guys for being remarkable. Your professionalism and being dedicated. Thumbs Up!
Ace Centerpoint,"Sergio Osmena Street, Koronadal City 9506 South Cotabato ",+63(083)2282355,0,
Acmi Office Systems Philippines,"AYSN Building,  N. Domingo Street, San Juan City 1500 Metro Manila ",+63(2)86540888,5,Provieds quality office furniture and equipment!
Adj Realty,"Room 2A, 45, Visayas Avenue, Project 6, Quezon City, Metro Manila ",+63(2)89203744,0,
Ag Santillan & Sons Inc.,"2520, P. Guevarra corner Blumentritt Streets, Santa Cruz, City of Manila 1001 Metro Manila ",+63(2)85215100,0,
"Agp Sales And Building Services, Incorporated","80, D Silang Street, Batangas City, Batangas ",+63(43)7234279,0,
Agustin Building,"28, F. Ortigas Jr. Road, Ortigas, Pasig City 1605 Metro Manila ",+63(2)86335484,0,
Aic Burgundy Empire Tower,"ADB Avenue, Ortigas Center, Pasig City 1600 Metro Manila ",,0,
Aic Development  Corporation,"AIC Center, 212, Escolta Street, City of Manila, Metro Manila ",+63(2)83537485,0,
Ajrc Marketing & Real Estate Services,"32 B, Sgt. Catolos, Pinagkaisahan, Quezon City 1111 Metro Manila ",+63(2)89350585 loc. 83,0,
Alchemy Business Center And Marketing Consultancy,"2/F, FBR Building, 317 Katipunan Avenue, Loyola Heights, Quezon City 1108 Metro Manila ",+63(2)76231001,0,
Almeda ,"Almeda Building, Makati City 1200 Metro Manila ",+63(2)88162067,0,
Alpap Ii Building,"Trade Street corner Investment Drive, Madrigal Business Park, Alabang , Muntinlupa City 1770 Metro Manila ",+63(2)88508090,0,
The City Club,"Ayala Avenue corner Malugay Street, Makati City 1200 Metro Manila ",+63(2)87370000,5,"The City Club has three floors that cater to all your business, lifestyle, and fitness requirements. Stay fit in our fully equipped, state-of-the-art athletic complex, including indoor tennis, basketball, squash and badminton courts. Find relaxation and rejuvenation at our total wellness spa or lushly landscaped pool and Jacuzzi areas. Nowhere else in Makati will you find all of these options in a single, exclusive club. Your center of activity and health await shape your future here."
Altisource Business Solutions,"4/F , Tower B Two E-Com Center,  Harbor Drive, MOA Complex, Pasay City 1300 Metro Manila ",+63(2)85305282,0,
Alveo Land Corporation,"Unit 5A 7th/F, Abreeza Corporate Center, J P Laurel Avenue, Davao City, Davao Del Sur ",+63(82)2851529,0,
"Amada Spring Properties, Incorporated","Felix-Amada Building, Gen E Aguinaldo Highway, Dasmarinas City, Cavite ",+63(46)4160449,0,
Amaia Land  Corporation,"Fairview Terraces, Quirino Highway Maligaya Drive, Novaliches, Quezon City 1118 Metro Manila ",+63(2)89313151,0,
Andrade Builders,"2/F, Parchouse 2 Condominium, 21 Edsa, Guadalupe, Makati City 1200 Metro Manila ",+63(2)88821374,0,
Melanny C. Angangan - Real Estate Broker,"B9 L6 Cleveland Street, Samantha Executive Homes, Matina Pangi, Davao City 8000 Davao Del Sur ",+63(82)3217612,0,
Anita Building,"1300 Quezon Avenue, Quezon City 1100 Metro Manila ",+63(2)83723534,0,
Ansa Ii,"1078 Chino Roces Avenue, Barangay Tejeros, Makati City 1204 Metro Manila ",,0,
Antel Global Corporate Center,"3 Julia Vargas, Ortigas Center, Pasig City 1605 Metro Manila ",+63(2)86376324,0,
Apartmentsforrentx,"Apartments for Rent X Building, 31st Street, 5th Avenue, Bonifacio Global City, Fort Bonifacio, Taguig City 1630 Metro Manila ",+63(912)3456789,5,
April & Jeffrey Apartment,"Lot 14, Blk 102 Ph1-B ,  Gate 1 , Karangalan Village , San Isidro , Cainta, Rizal ",+63(2)85719373,0,
Araneta University Village,"Marillo Street, Araneta Village, Potrero, Malabon City 1470 Metro Manila ",+63(2)83615264,0,
Araneta University Village,"Circumferential Road, Malabon City, Metro Manila ",+63(2)84230746,0,
Archidime Construction,"3/F Unit 2, Bausin and Samson Building 9007, EPZA Diversion Road, Kawit 4104 Cavite ",+63(46)2361110,0,
Aseana City,"Aseana Powerstation,  Bradco Avenue Corner Pres. Diosdado Macapagal Boul, Aseana City, Paranaque City, Metro Manila ",+63(2)88545711,5,Nice place and good ambiance.
Bonifacio One Technology Tower,"3030 Rizal Drive corner 31st Street, Bonifacio Global City, Taguig City 1634 Metro Manila ",+63(2)79083794,0,
Apmc,"2/F, Serendra Piazza,  Mckinley Parkway, Bonifacio Global City, Bonifacio Global City, Taguig City 1634 Metro Manila ",+63(2)88562231,5,Great service. two thumbs up!
Ayala Technohub,"Loakan Road, Camp John Hay, Baguio City 2600 Benguet ",+63(906)5563324,0,
Ayala Tower One,"Ayala Tower One, 6767 Ayala Avenue corner Paseo de Roxas, Makati City 1226 Metro Manila ",+63(2)891903,0,
Baclaran Lrt Group,"142, Capt Ambo Street, Pasay City, Metro Manila ",+63(2)84782795,0,
Balgos Barretto Realty Firm,"Balgos Barretto Realty Firm, Balgos Barretto Realty Firm, L7 B6, Delaware St., Metrovilla Centre Executive Village, Mapulang Lupa, Valenzuela City 1408 Metro Manila ",+63(917)8160250,0,
Banilad Town Centre,"Gov. Mariano Cuenco Avenue, Cebu City 6000 Cebu ",,0,
Beach Hub,"2/F, El Union Coffee,  MacArthur Highway, Barangay Urbiztondo, San Fernando City 2500 La Union ",+63(928)5546262,5,Wow this place looks like a great venue to get work done by beach! :)
Beatriz Tang Marketing ,"4 Santo Domingo Avenue, Quezon City 1100 Metro Manila ",+63(2)87409271,0,
Bellagio One Condominium Association Incorporation,"No.1 Forbestown Rd. Cor. Burgos Circle Forbestown , Brgy Fort Bonifacio, Taguig City 1634 Metro Manila ",+63(2)8560154,0,
Bellbart ,"300 4a, East Tower, Exchange Road, Ortigas Center, Pasig City 1600 Metro Manila ",+63(2)86340484,0,
Berthaphil Center,"Jose Abad Santos Avenue, Clark Freeport Zone, Angeles City 2009 Pampanga ",+63(45)4990695,0,
Big Four Properties,"Balibago Road, Santa Rosa City, Laguna ",+63(49)5343758,0,
Bitspace,"6/F, PDCP Bank Centre,  Rufino corner Leviste Streets, Salcedo Village, Makati City 1227 Metro Manila ",+63(2)88925462,5,
Bonanza Plaza Inc,"Km 23 Quirino Highway, Greater Lagro, Novaliches, Brgy Greater Lagro, Quezon City 1118 Metro Manila ",+63(2)34177185,0,
Bonifacio Stopover ,"Bonifacio Stopover,  31st Street Corner Rizal Drive, Bonifacio Global City, Taguig City, Metro Manila ",+63(2)88567833,0,
Boton Light And Science Park,"Argonaut Highway, Subic Bay Freeport Zone, Subic 2209 Zambales ",+63(47)2522423,0,
Brittany Corporation,"Lower Ground Floor, Building B, Evia Lifestyle Center, Daang Hari,  Vista Alabang, Las Pinas City, Metro Manila ",+63(917)8838013,0,
Brown Race Commercial,"Dacon Homes Subdivision Street, Cainta, Rizal ",+63(2)6568675,0,
Builders And Developers,"5/F, Ablaza Building, 117 E. Rodriguez Senior Avenue, Quezon City 1100 Metro Manila ",+63(2)87325151,0,
C.D Cruz Building,"1452 Taft Avenue, City of Manila 1000 Metro Manila ",+63(2)85246950,0,
C.S. Ramos Real Estate And Agricultural Development Corporation,"Carrieland Country Homes Street, Carrieland Cntry Hms Subd P2, San Mateo, Rizal ",+63(2)85702802,0,
California Garden Commercial Center Administration,"California Garden Square, D M Guevarra Street, Mandaluyong City, Metro Manila ",+63(2)86332126,0,
Calvo,"266, Escola Street, Brgy 291, City of Manila 1006 Metro Manila ",+63(2)82414762,0,
Canoga Park Development ,"Rm. 241, Midway Court, 241, EDSA, Mandaluyong City 1550  Metro Manila ",+63(02)87247781,0,
"Carmen Homes San Pedro, Incorporated","Mahogany Circle Street, Carmen Homes Subdivision, San Pedro City, Laguna ",+63(2)88473045,0,
Carrirag Development  Corporation,"821, Arlegui Street, City of Manila, Metro Manila ",+63(2)87352705,0,
Catalina Building,"9 New York Corner E Rodriguez Sr Catalina Building, Brgy Pinagkaisahan, Quezon City 1112 Metro Manila ",+63(2)86543914,0,
Cb Vitug Building,"559 Engracia C Reyes, Brgy 669, City of Manila 1000  Metro Manila ",+63(2)87080066,0,
Cebu ATG Realty Development,"Ouano Avenue, Mandaue Reclamation Area, Subangdaku, Mandaue City, Cebu ",+63(32)3507255,0,
Cebu Capitol Commercial Complex,"N Escario, Cebu City 6000 Cebu ",+63(32)2556386,0,
Cebu Exchange By Arthaland,"Cebu Exchange, Salinas Drive, Lahug, Cebu City 6000 Cebu ",+63(917)3019687,0,
Cebu Homes By Emie,"Blk 13 Lot 10, Villas Magallanes, Villalobos St., Villas Magallanes, Agus, Lapu-Lapu City 6015 Cebu ",+63(956)6303926,0,
Cebu Seat Leasing,"901, The Insular Life, Cebu Business Center,  Mindanao Avenue corner Biliran Road, Cebu City 6000 Cebu ",+63(032)2662311,0,
Cedar Executive Building 2,"26 Timog Cedar Executive Building 2, Brgy Laging Handa, Quezon City 1103 Metro Manila ",+63(2)83747852,0,
"Central Country Estate, Incorporated","Corporate House Building, 239, Col B Serrano Avenue, Quezon City, Metro Manila ",+63(2)87222723,0,
Centrum 2,"150 Valero Centrum 2 Salcedo Village, Brgy Bel-air, Makati City 1227 Metro Manila ",+63(2)83333131,0,
Ceo Building,"4 Edsa Ceo Building, Brgy Greenhills, San Juan City 1503 Metro Manila ",+63(2)87220731,0,
Ceo Suite Manila,"37 / F, LKG Tower, 6801 Ayala Avenue, Makati City, Metro Manila ",+63(906)4050419,5,Excellent serviced and assistance to clients need.
Ceo- Maintenance Section,"Ceo Building, Rizal Street, Tagum City, Davao Del Norte ",+63(84)2162035,0,
Cfpc  Corporation,"109A, C M Recto Street, Marikina City, Metro Manila ",+63(2)89483840,0,
Cherry Mae Cadayona (Independent Real Estate Broker),"Urban Deca Homes Condominium, Tipolo, Mandaue City, Cebu ",+63(32)5181485,0,
Chung Li Motors Company,"13 Innovative Corner Commitment Streets, Subic Bay Freeport Zone, Subic 2209 Zambales ",+63(47)2526018,0,
Chung Li Motors Company,"Rizal Avenue, Subic, Zambales ",+63(47)2526018,0,
Citibank Square,"1, Eastwood Citibank Square, Barangay Bagumbayan, Quezon City 1110 Metro Manila ",+63(2)89959999,0,
Citicentral,"498-A, Boni Avenue, Plainview, Mandaluyong City 1550 Metro Manila ",+63(02)77303040,0,
City Plaza,"439, Del Conde Street, Binondo, City of Manila 1010 Metro Manila ",+63(2)82450653,0,
Csi Spaces,"CSI Events Centre, President JP Laurel Highway, Purok 2, Sico, Lipa City 4217 Batangas ",+63(939)9104078,0,
Cityland,"720 Pablo Ocampo Street, Malate, City of Manila 1004 Metro Manila ",+63(2)85673333,0,
Cj7 Maniago Realty,"1723 South, Joya Loft and Towers Condominium, 28 Plaza Drive , Rockwell Center, Makati City, Makati City, Metro Manila ",+63(2)83709554,0,
Co.Lab,"Unit 301, 3/F, Three Brixton Building, 3 Brixton Street, Pasig City 1603 Metro Manila ",+63(2)86617616,5,Highly recommended. Nice place with a great community and a space focused on giving us the best experience.
Coca Cola Bottlers Philippines,"26F, Net Lima Building, 5th Ave Cor, 26th St. , Fort Bonifacio Global City, Taguig City, Metro Manila ",+63(2)84629301,0,
Columbia Tower,"Columbia Tower,  Ortigas Avenue, Barangay Wack-wack, Mandaluyong City 1550 Metro Manila ",+63(2)77445512,0,
Common Goal Tower,"Common Goal Tower,  Industry Street corner Finance Street, Madrigal Business Park, Ayala Alabang, Muntinlupa City 1770 Metro Manila ",+63(2)88427929,0,
Camella Communities,"2/F, Metrobi Building,  South Osmena Street, General Santos City, South Cotabato ",+63(83)5538877,0,
Camella Communities,"RM Marbel Building,  Rafael Alunan Avenue, Barangay Zone IV, Koronadal City 9506 South Cotabato ",+63(83)3100107,0,
Concepcion Grande Development,"Zone 7, St. Jude Church,  Concepcion Grande, Naga City 4400 Camarines Sur ",+63(54)4726566,0,
Constant Integrated Project Development Corporation,"Phase 1, Villena Street, Las Terrazas Subd., Maa, Davao City, Davao Del Sur ",+63(82)2275001,0,
Corporate Executive Offices,"12/F, Robinsons Summit Centre, No. 6783 Ayala Avenue, Makati City, Metro Manila ",+63(2)84791888,5,"Putting up an office is one of the basic requirements for a business. You have to take care of all the specs and details like the rental, costing, facilities, equipments and support staff. With CEO's 26 years of experience in the industry, availing of their services will save you a lot of headache."
"COTOHA REAL ESTATE PHILIPPINES, INC.","26/F, Twenty-Four-Seven Mckinley Building, 24th Street corner 7th Avenue, Fort Bonifacio, Taguig City 1630 Metro Manila ",+63(917)1866578,0,
Cpi Outsourcing,"4/F, One Corporate Center,  Julia Vargas Avenue corner Merlaco Avenue , Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)86318401,0,
Creatives Asia Company,"19/F, Times Plaza,  United Nations Avenue corner Taft Avenue, Ermita, City of Manila 1000 Metro Manila ",+63(2)77597100,0,
Cynthia-Marie,"New York Street Corner E Rodriguez, Quezon City 1100 Metro Manila ",+63(2)87210821,0,
Czark Mak Corporation,"Polaris Center, 48, Polaris, Poblacion, Makati City 1209 Metro Manila ",+63(2)89909892,0,
D.H.C. Building,"DHC Building, 1115 EDSA, Quezon City 1100 Metro Manila ",+63(2)88266654,0,
D`partner Philland Properties Co.,"Block 1, Lot 21, Sta. Rita Street , Addas Village 2A, Bacoor City, Cavite ",+63(46)4771763,0,
Dagupan Commercial o,"Mc Arthur Hwy, Dagupan City 2400 Pangasinan ",+63(75)5155912,0,
"Damosa Land, Inc","ANFLOCOR Corporate Center Damosa Building, Davao-Agusan Highway, Davao City, Davao Del Sur ",+63(82)2340539,0,
Davao Property & Realty,"824, Sto. Rosario, Buhangin, Davao City, Davao Del Sur ",+63(929)4054988,0,
De Guzman Development,"Sky Freight Building, Paranaque City 1700 Metro Manila ",+63(2)88330569,0,
Dela Casa,"Unit C, Facility Center Building, 548 Shaw Boulevard, Mandaluyong City 1550 Metro Manila ",+63(2)85311361,0,
Deux Marias Commercial Building,"8728, Junction Road, Los Banos, Laguna ",+63(49)5361903,0,
Dimaano Property Holdings Corporation,"Dimaano Building, 31, M H Del Pilar Street, Batangas City, Batangas ",+63(43)7723016,0,
Diseno Lindo,"4th Floor, One Legacy Place Building,  Don Jesus Boulevard, Alabang Hills, Muntinlupa City, Metro Manila ",+63(2)87723644,0,
Dmci Holdings,"Good Sheperd, Banawa, Cebu City 6000 Cebu ",+63(917)3019687,0,
Don Jose Building,"361 Barbosa, City of Manila 1000 Metro Manila ",+63(2)87349353,0,
Dona Nicasia Realty,"Manila Banking Corporation Building, Makati City 1200 Metro Manila ",+63(2)88101034,0,
Downtown Center Building Administration,"516 Quintin Paredes Street, City of Manila 1000 Metro Manila ",+63(2)494951,0,
Doyen Diamond,"Unit E, Santos Commercial Building, 4900 Balibago National Hi-way, Santa Rosa City 4026 Laguna ",+63(932)8685045,0,
Dulalia Homes,"T. Santiago Street, Malanday , Valenzuela City, Metro Manila ",+63(2)4552088,0,
E-Commerce Plaza,"1 Garden Road, Eastwood Cyberpak, Bagumbayan, Libis, Quezon City 1100 Metro Manila ",+63(2)7092915,0,
Earthclean,"Inicbulan Road, Bauan 4200 Batangas ",+63(043)7066058,0,
Eb Building Lessor,"79 Dona Hemady, Quezon City 1100 Metro Manila ",+63(2)87226901,0,
Eco Plaza,"2305 Chino Roces Avenue, Makati City 1231 Metro Manila ",,0,
Ecoplaza,"2305 Don Chino Roces Avenue, Makati City 1231 Metro Manila ",+63(2)88561562,0,
Edexpro Technologies,"3/F, Gomega Building, 16 Jose Tiosejo Street, Daang Bangkal, Mandaluyong City 1501 Metro Manila ",+63(2)85311324,0,
Edsa Grand Residences,"EDSA Corner Corregidor Street, Quezon City, Metro Manila ",+63(2)34558806,0,
Elegant Homes,"Block 20 Lot 7, Teresa Park Homes, Teresa Park Avenue,  Pilar Village, Las Pinas City 1750 Metro Manila ",+63(905)2826268,0,
Elena V.,"1038 J.Nakpil Street Cor. Benitez, Malate, City of Manila 1004 Metro Manila ",+63(2)85258758,0,
Elvie Perfecto - Dmci Broker,"Caloocan City, Metro Manila ",+63(932)6113542,0,
Emerald Circle Property Management,"Emerald Circle Avenida Building, 464 Rizal Avenue, Sta. Cruz, City of Manila 1000 Metro Manila ",+63(2)87348388,0,
"Empire East Communities, Incorporated","The World Center, 330, Sen Gil Puyat Avenue, Makati City, Metro Manila ",+63(2)88489004,0,
"Empire East Communities, Incorporated","Gilmore Heights Condominium, Granada Street , Quezon City, Metro Manila ",+63(2)85310308,0,
Engarland Development Corporation,"Kalayaan Plaza Building, 89A, Kalayaan Avenue, Barangay Diliman, Quezon City, Metro Manila ",+63(2)89251421,0,
Epic Property Leasing,"Balagtas Street, Batangas City, Batangas ",+63(43)7027760,0,
Evans Realty And Development,"Ayala Avenue, Makati City 1200 Metro Manila ",+63(2)88184387,0,
Evekal Building Administration,"Pasay Road, Makati City 1200 Metro Manila ",+63(2)88181474,                            0,
F R Estuar And Association Development Management Company,"Estuar Building, Quezon City 1100 Metro Manila ",+63(2)83723878,                            0,
Far East Managers And Investors,"Trb Building, City of Manila, Metro Manila ",+63(2)85280374,                            0,
Fastbyte,"N. Bridgeway, Northgate Cyberzone, Filinvest, Alabang, Muntinlupa City 1781 Metro Manila ",,                            0,
Federal Tower Condominium Corporation,"Dasmarinas Street, Binondo, City of Manila 1010 Metro Manila ",+63(2)82422184,                            0,
Fianchetto Realty Development,"Unit 1, Villa Felicidad, 117 14th Avenue, Cubao, Quezon City 1109 Metro Manila ",+63(2)89215243,                            0,
Financial Building,"Triboa Bay Lower Cubi, Subic Bay Freeport Zone, Subic 2209 Zambales ",+63(47)2527211,                            0,
First Lucky Place,"2259 Chino Roces Avenue, Makati City 1231 Metro Manila ",+63(2)88186270,                            0,
First Marcel Tower Condominium  Corporation,"First Marcel Tower, 926, G Araneta Avenue, Quezon City, Metro Manila ",+63(2)87423843,                            0,
First United Building Corporation,"Rm 309 First United Bldg 413 Escolta Binondo Manil, Brgy 291, City of Manila 1006 Metro Manila ",+63(2)82417005,                            0,
First United Building,"413 Escolta Street, City of Manila 1000 Metro Manila ",+63(2)82410243,                            5.0,Good ambiance.. And nice place.
Fisher Rosemount Systems,"Sapphier corner Garnet Roads,  Ortigas Center, Pasig City, Metro Manila ",+63(2)87021000,                            0,
Flyspaces,"28th Floor, World Plaza Building, 5th Ave, BGC, Taguig City 1229 Metro Manila ",+63(2)83593225,                            0,
Fmsg Building Administration,"9 Balete Drive, Quezon City 1100 Metro Manila ",+63(2)87273886,                            0,
Rentcentralph,"block 3 6c, camia st., pembo, Makati City, Metro Manila ",+63(917)3000467,                            0,
"Forbestown Center, Incorporated","Forbes Town Center, Padre Burgos Circle Street, Bonifacio Global City, Taguig City, Metro Manila ",+63(2)85110044,                            0,
Fort Entertainment Center Admin Office,"The Fort Entertainment Center,  31st Street, Bonifacio Global City, Taguig City 1634 Metro Manila ",+63(2)88560522,                            0,
Fort Legend Towers Corporation,"3rd Avenue corner 31st Street, Bonifacio Global City, Taguig City 1634 Metro Manila ",+63(2)84032811,                            0,
Foxchit Business Systems,"201-203, 2/F, Panorama Building, 480 Rizal Avenue Extension, Caloocan City 1400 Metro Manila ",+63(2)83670563,                            0,
Fr Estuar And Association Development Management Company,"Penthouse Estuar Building, 41 Timog Avenue, Quezon City 1100 Metro Manila ",+63(2)83732067,                            0,
Framel Building Administration,"676 EDSA, Quezon City 1100 Metro Manila ",+63(2)89123464,                            0,
Franzon Commercial,"Taft Avenue Taft Centrale Exchange, Brgy 38 Zone 5, Pasay City 1304 Metro Manila ",+63(2)34915653,                            0,
Full Suite,"Optima Building,  Salcedo Street, Makati City 1229 Metro Manila ",+63(2)77595000,                            0,
City Soho Mall,"B. Rodriguez Street, Barangay Guadalupe, Cebu City 6000 Cebu ",+63(32)4121777,                            0,
"Gasanco, Incorporated","3270, Merville Access Road, Paranaque City, Metro Manila ",+63(2)88043211,                            0,
Gateway Tower,"General Roxas Avenue corner General Aguinaldo Aven, Araneta Center, Cubao, Quezon City 1109 Metro Manila ",+63(2)89113101,                            0,
