Company Name,Address,Contact Number,Average Ratings,Review
Passenger Accident Management And Insurance Agency,"Jmp Building,  Aparente Avenue, General Santos City, South Cotabato ",+63(83)5520878,                            0,
Pami,"Unit 2402-2403, One Corporate Center,  Julia Vargas Avenue corner Merlaco Avenue, Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)86544126,                            0,
Pen Brothers,"100 C. Palanca Street, Legazpi Village, Makati City 1229 Metro Manila ",+63(2)88933534,                            5.0,Nice place and awesome staff as well. Good Facilities.
Perlas And Company,"6/F, Perlas Building, 646 Quezon Avenue, Quezon City 1100 Metro Manila ",+63(2)87122691,                            0,
Perlas Clinic,"141 4Th Avenue, Caloocan City, Metro Manila ",+63(2)83648731,                            0,
"Petaluma Properties, Incorporated","9th Avenue corner 28th Street, Fort Bonifacio, Taguig City 1634 Metro Manila ",+63(2)8697628,                            0,
Philamlife Tower,"8767 Paseo De Roxas, Makati City 1226 Metro Manila ",+63(2)88920841,                            0,
Philexcel Business Center,"M.A Roxas Highway, Clark Freeport Zone, Angeles City 2009 Pampanga ",+63(45)4990695,                            0,
Philippine Axa Life Center,"1286 Sen. Gil Puyat Avenue corner Tindalo Street, Makati City 1220 Metro Manila ",+63(2)88850101,                            0,
Philippine Estates Corporation,"Waterfront Hotel, Cebu City 6000 Cebu ",+63(32)2342025,                            0,
Philippine Estates Corporation,"Pacific Grand Villas Sub, Lapu-Lapu City, Cebu ",+63(32)4968378,                            0,
Philippine Estates Corporation,"Simon Ledesma Jaro, Iloilo City 5000 Iloilo ",+63(32)3296830,                            0,
Philippine Estates Corporation,"Magsaysay, Bacolod City, Negros Occidental ",+63(34)4339712,                            0,
Philippine Estates Corporation,"Avon Plaza Building,  Pres Osmena Boulevard, Cebu City, Cebu ",+63(32)2397782,                            0,
Philippine Estates Corporation,"Pacific Grand Villas Street, Pacific Grand Villas Ph 3, Lapu-Lapu City, Cebu ",+63(32)2666066,                            0,
Philippine Estates Corporation,"Estrella Building,  Simon Ledesma Street, Jaro, Iloilo City, Iloilo ",+63(33)3296830,                            0,
Phes,"One Corporate Center,  Julia Vargas corner Meralco Avenue, Ortigas Center, Pasig City 1600 Metro Manila ",+63(2)86368831,                            0,
Pinnacle Real Estate Consulting Services ,"E1, Garden Level Corinthian Plaza Building,  Paseo de Roxas cor Legazpi Street, Makati City 1226 Metro Manila ",+63(2)88591000,                            0,
Pioneer House,"108 Paseo de Roxas, Legaspi Village, Makati City, Metro Manila ",+63(2)88127777,                            0,
Plaza Garcia,"Gemsville Subd, San Fernando City 2000 Pampanga ",+63(45)9616237,                            0,
Premiere Fiesta Land Incorporated,"Pan - Philippine Highway, Bantug Bulalo, Cabanatuan City, Nueva Ecija ",+63(932)8620675,                            0,
Primary Industrial Properties Corporation,"M L Quezon Highway, Mepz 1, Lapu-Lapu City, Cebu ",+63(32)3403086,                            0,
Prime Corner Stone Ventures,"Malate, City of Manila, Metro Manila ",+63(2)85213871,                            0,
Prime Properties,"Eagle St, Ecoland, Bucana, Davao City, Davao Del Sur ",+63(82)2735088,                            0,
Primex Tower,"Primex Tower, Primex Tower, EDSA corner Connecticut St. Gr, Edsa, Greenhills, Greenhills, San Juan City 1502 Metro Manila ",+63(995)9439329,                            0,
Pre Investment ,"Prince Building, Makati City 1200 Metro Manila ",+63(2)88186438,                            0,
Proaccess Business Services,"1100, 88 Corporate Center,  Sedeno corner Valero Streets, Salcedo Village, Makati City 1227 Metro Manila ",+63(2)79082500,                            5.0,"I worked in a call center for a long time and I am convinced that the office space of each agent is important for them to perform well in their tasks. The office I am working at got its partitions and desks from PROACCESS BUSINESS SERVICES, INC. The partitions look good and and are durable, plus, the phones ca be strategically placed on the tables. It is spacious enough to accommodate a desktop."
Project T Solutions,"23rd Floor, Bonifacio Stopover Corporate Center, 31st Street 31st Street, Bonifacio Global City, Fort Bonifacio, Taguig City, Metro Manila ",,                            0,
Project T Solutions,"23/F, Bonifacio Stopover Corporate Center,  31st st. cor 2nd Ave., Taguig City 1634 Metro Manila ",+63(2)82365999,                            0,
Propeller Realty,"19, 3, Maj. Santos Dizon, Propeller Realty, Propeller Realty, Marikina City 1802 Metro Manila ",+63(906)0012922,                            0,
Propertymart.Ph,"Level 12, Robinsons Summit Center, 6783, Ayala Avenue, Bel-Air, Makati City 1226 Metro Manila ",+63(2)87360356,                            0,
Provident International Resources,"PIRC Building,  Ninoy Aquino Avenue corner Pascor Drive, Sucat, Paranaque City, Metro Manila ",+63(2)88545659,                            0,
Puyat G Building Administration Office,"Puyat Building, City of Manila, Metro Manila ",+63(2)82413443,                            0,
Puzon's Office Building,"E Rodriguez Sr Boulevard, Quezon City 1100 Metro Manila ",+63(2)87230001,                            0,
Queensland Commercial Plaza,"MacArthur Highway, San Fernando City 2000 Pampanga ",+63(45)9611876,                            0,
R And G Tirol Building,"831 EDSA, Quezon City 1100 Metro Manila ",+63(2)89279621,                            0,
Racitelcom,"Sullera Street, Pandayan, Meycauayan City 3020 Bulacan ",+63(44)2288000,                            0,
Ramirez C And Company,"Quezon Avenue, Quezon City 1100 Metro Manila ",+63(2)87418983,                            0,
Ramirez C And Company,"Ramirez Building, 483 Del Monte Avenue, Quezon City, Metro Manila ",+63(2)7094833,                            0,
Rcbc Plaza,"6819 Ayala Avenue corner Gil Puyat Avenue, Makati City 1200 Metro Manila ",+63(2)88874941,                            5.0,Nice building.. 
RDRDC,"RDRDC Building, General Santos Business Park, Lagao, General Santos City 9500 South Cotabato ",+63(83)5524435,                            0,
Rda Building Number 2 Administration,"579 EDSA, Quezon City 1100 Metro Manila ",+63(2)87230281,                            0,
Regina ,"324, Regina Building, 410 Escolta Street, City of Manila 1000 Metro Manila ",+63(2)82415877,                            0,
Regus Instant Offices Worldwide,"The Enterprise Center Tower II, 6766 Ayala Avenue Cor. Paseo De Roxas, Makati City 1226 Metro Manila ",+63(2)88493489,                            0,
Regus Service Center,"W Building, 28Th St Cor 11Th Ave, Brgy Fort Bonifacio, Taguig City 1634  Metro Manila ",+63(2)86897500,                            0,
Reliance Center,"Reliance Ctr, 99 E Rodriguez Jr Ave, Brgy Ugong, Pasig City 1604 Metro Manila ",+63(2)86670800,                            0,
Re/Max Premier Bgc ,"Suite 2L, Kensington Place Condominium, 1St Avenue, Taguig City 1634 Metro Manila ",+63(2)85551002,                            0,
Remedios Building Administration,"55 A Roces Sr Avenue, Quezon City 1100 Metro Manila ",+63(2)83723116,                            0,
Renadar Development ,"1360 L Guinto, City of Manila 1000 Metro Manila ",+63(2)85214145,                            0,
Ri-Rance Realty Corporation,"10, Ri-Rance Corporate Center 1, J. Fuentes, Aseana City, Tambo, Paranaque City 1700 Metro Manila ",+63(242)6638 loc. 02,                            0,
Richville Orate Tower ,"Richville Corporate Tower, 1107 Alabang-Zapote Road, Madrigal Business Park, Muntinlupa City 1780 Metro Manila ",+63(2)88078881,                            0,
Robinson Equitable Tower,"4, ADB Avenue, Barangay Ugong Norte, Quezon City 1110 Metro Manila ",+63(2)3952252,                            0,
Robinsons Cyberscape Alpha,"Sapphire And Garnet Robinsons Cyberscape Alpha, Brgy San Antonio, Pasig City 1605 Metro Manila ",+63(2)84770974,                            0,
Robinsons Cybergate Plaza,"Cybergate Compound,  EDSA corner Pioneer Street, Mandaluyong City 1550 Metro Manila ",+63(2)3971888,                            0,
Robinsons Luxuria,"Lower Level East Lane, Robinsons Galeria,  EDSA corner Ortigas Avenues, Ortigas Center, Ugong Norte, Quezon City 1100 Metro Manila ",,                            0,
The Rockwell Business Center,"Ortigas Avenue, Ortigas Center, Pasig City, Metro Manila ",+63(2)77930088,                            0,
Rockwell Primaries,"The Pavilion at Rockwell Center,  Estrella Street, Makati City 1200 Metro Manila ",+63(2)88289888,                            0,
The Vantage At Kapitolyo,"50 West Capitol Drive corner United Street, Barangay Kapitolyo, Pasig City 1603 Metro Manila ",+63(2)88289888,                            0,
"Rodel Barcelona Properties, Incorporated","Kaginhawahan Street, Pasig City, Metro Manila ",+63(2)86541911,                            0,
Romero Davin Realty And Services,"B13 L14  Gotesco Street, Calamba Hills Phase 1, Mayapa , Calamba City 4027 Laguna ",+63(049)5082643,                            0,
C.O.D Department Store,"5 Stanford Street, Cubao, Quezon City 1100 Metro Manila ",+63(2)89112413,                            0,
Royal Arranque Commercial Center,"1388 CM Recto Avenue corner T. Alonzo Street, Sta. Cruz, City of Manila 1000 Metro Manila ",+63(2)87355121,                            0,
Royal Estate Xebu,"2F/U6, Labangon Town Center, Katipunan, Labangon, Cebu City 6000 Cebu ",+63(935)3577457,                            0,
Royale Homes Marketing  ,"6/F & 10/F, State Center Ii Building, Ortigas Avenue, Mandaluyong City, Metro Manila ",+63(2)86616317,                            5.0,best in price and affordability!
Rubysapphire Land Corp,"2/F, KW Plaza, NIA Road, Kingswood Residences, Pasong Buaya II, Imus City 4103 Cavite ",+63(046)5737752,                            0,
Rufino Pacific Tower,"Rufino Pacific Tower, 6784 Ayala Avenue, Makati City 1200 Metro Manila ",+63(2)88110903,                            1.0,
S Medalla Building,"1 Gen Mc Arthur, Cubao, Quezon City 1100 Metro Manila ",+63(2)89122070,                            0,
Sabiano-De Guia Building Construction,"177 , Liberty Apartment, San Antonio Avenue, Valley 1, Sucat, Paranaque City, Metro Manila ",+63(961)2528881,                            0,
Salcedo Sky Suites,"H.V. Dela Costa Street, Makati City, Metro Manila ",+63(917)8876223,                            0,
"San Antonio Condominium Builders, Incorporated","Ctc Building, 2232 Roxas Boulevard, Pasay City, Metro Manila ",+63(2)85521696,                            0,
San Antonio Condominium Builders ,"C P C Building, 2232 Roxas Boulevard, Pasay City 1300 Metro Manila ",+63(2)88322825,                            0,
San Luis Building Administration,"1006 T M Kalaw Corner Mabini Street, City of Manila 1000 Metro Manila ",+63(2)85256282,                            0,
Santos Knight Frank,"10/F, Ayala Tower One Exchange Plaza, Ayala Triangle, Ayala Avenue, Bel-Air, Makati City 1226 Metro Manila ",+63(2)77522580,                            0,
Sapat Realty Corporation,"3D, Patricia Building, 1050, EDSA, Magallanes Village, Makati City 1232 Metro Manila ",+63(2)88526325,                            0,
Seascape Village,"Atang Dela Rama corner Zoilo Hilario Streets, CCP Complex, Pasay City, Metro Manila ",+63(2)86409955,                            0,
SSSI,"304, Serate Building, 11-E, Mercado St., Poblacion, Iligan City 9200 Lanao Del Norte ",+63(63)2213257,                            0,
Serendra - Umg,"2/F, Serendra Piazza,  McArthur Avenue , Bonifacio Global City, Taguig City 1630 Metro Manila ",+63(2)88461345,                            0,
Silanganan Towers  Corporation,"Silanganan Towers, 679, Sto Cristo Street, City of Manila, Metro Manila ",+63(2)82453840,                            0,
Silver Tree Real Estate Corporation,"2130 Leveriza St., Brgy 38 Zone 5, Pasay City 1304 Metro Manila ",+63(2)88317606,                            0,
Sky 1 Tower,"68, Dasmarinas Street, Binondo, City of Manila 1010 Metro Manila ",+63(2)82456579,                            0,
Sky Commercial Isulan,"National Highway, Isulan, Sultan Kudarat ",+63(64)4710275,                            0,
Sm Development  Corporation,"Blue Residences, Katipunan Avenue, Quezon City, Metro Manila ",+63(2)82946844,                            0,
Sm Development  Corporation,"M Place Building, Mother Ignacia Avenue, Quezon City, Metro Manila ",+63(2)83645745,                            0,
Sm Development  Corporation,"SM Field Residences Tower 2, Dr A Santos Avenue, Paranaque City, Metro Manila ",+63(2)87798764,                            0,
Two E-Com Center,"Bayshore Avenue corner Harbor Drive, Mall of Asia Complex, Pasay City 1300 Metro Manila ",+63(916)6111249,                            5.0,great dining experience at Two E-Com Center
Sm Offices,"10F,  OneE-Com Center, Harbor Drive, Mall of Asia Complex, Pasay City, Metro Manila ",+63(2)88570100,                            0,
Solaris One ,"Solaris One, 130 Dela Rosa, Barangay San Lorenzo, Makati City 1229 Metro Manila ",+63(2)75013171,                            0,
Square B Commercial,"C2 Congressional, Brgy Ramon Magsaysay, Quezon City 1105 Metro Manila ",+63(2)79874567,                            0,
St Elizabeth Centre,"Valeria, Iloilo City 5000 Iloilo ",+63(33)3376014,                            0,
Stallworks,"AVR Building, Intramuros, City of Manila 1000 Metro Manila ",+63(2)84007797,                            0,
Standard Realty  Corporation,"Salcedo Mansions, 109, Tordesillas Street, Makati City, Metro Manila ",+63(2)88134510,                            0,
Standard Realty,"Tytana Plaza, Plaza Lorenzo Ruiz, Binondo, City of Manila 1006 Metro Manila ",+63(2)82410239,                            0,
Starpager,"Regina Building, City of Manila, Metro Manila ",+63(2)82416582,                            0,
Storeys by Lessandra Developer,"LGF, Lessandra SAPPI Sales Office, Starmall Building, Along Quirino Highway, Barangay Kaypian, San Jose Del Monte City 3023 Bulacan ",,                            0,
Studio F Interior Design Services,"Narra St., United Hills Village, Paranaque City, Metro Manila ",+63(2)88088308,                            0,
Summit Ridge Promenade,"Nasugbu Highway, Tagaytay City 4120 Cavite ",,                            0,
Sun Miles Condominium,"Sun Miles Condominium, Rosal Street, Brgy Uno, Calamba City 4027 Laguna ",+63(49)8343981,                            0,
Suntree Tower,"Suntree, 13 Meralco Avenue, Ortigas Center, San Antonio, Pasig City 1605 Metro Manila ",+63(2)82411042,                            0,
Sunview Palace,"1015 M.H. Del Pilar Street, Ermita, City of Manila 1000 Metro Manila ",+63(2)82471396,                            0,
TAG Resort - Resort and Leisure Complex,"National Highway, Sitio Dipulao, Brgy. Poblacion 6, Coron 5316 Palawan ",+63(69)0162794,                            0,
"Tan, Frankum & Associates","Unit 403, La O' Centre, 1000 A. Arnaiz Avenue, San Lorenzo, Makati City 1223 Metro Manila ",+63(2)85532995,                            0,
Tanlimco J B Y Sons Investment,"211 Dasmarinas Street, City of Manila 1000 Metro Manila ",+63(2)82413281,                            0,
Tao Corporate Center,"2291 Chino Roces Avenue, Makati City 1231 Metro Manila ",+63(2)88365888,                            0,
"Tarik Property Holdings, Incorporated","One Corporate Center Tower, Dna Julia Vargas Avenue, Pasig City, Metro Manila ",+63(2)84709158,                            0,
"Tarik Property Holdings, Incorporated","Galleria Regency, 1, Adb Avenue, Quezon City, Metro Manila ",+63(2)86319354,                            0,
"Tcl Sun, Incorporated","Zen Tri Tower, 1111 N A Lopez Street, City of Manila, Metro Manila ",+63(2)83535473,                            0,
"Tcl Sun, Incorporated","17A A Fernando Street, Valenzuela City, Metro Manila ",+63(2)83550177,                            0,
The Astbury,"2, Orion Street, Makati City 1209  Metro Manila ",+63(2)88460856,                            5.0,Perfect place for intimate events. :D
The Business Center,"Unit 2, G/F, 238 Banawe corner Panalturan Streets, Quezon City 1101  Metro Manila ",+63(2)82947878,                            0,
The Columns,"6821 Ayala Avenue corner Sen. Gil Puyat Avenue, Barangay Bel-Air, Makati City 1209 Metro Manila ",+63(2)79090015,                            0,
The Fort Strip,"3/F, The Fort Strip,  5th Avenue corner 26th Street, Bonifacio Global City, Taguig City 1634 Metro Manila ",+63(2)88885632,                            5.0,Great place to hang! So many delicious dining options too!
Fort Pointe Administration Office,"Fort Pointe Building, The Fort Strip,  28th Avenue, Bonifacio Global City, Taguig City 1634 Metro Manila ",+63(2)88841707,                            0,
Tgbr,"E. Rodriguez Jr., Avenue Pasig, Pasig City 1604 Metro Manila ",+63(2)85718151,                            0,
The Nomad Offices Philippines,"Level 40 PBCOM Tower,  6795 Ayala Ave cor VA Rufino St., Makati City, Makati City 1226 Metro Manila ",+63(2)87899000,                            0,
The Office Project Ph,"G/F, Alpha Salcedo Condominium,  Bautista Street, Salcedo Village, Makati City 1200 Metro Manila ",+63(2)76255968,                            5.0,It's a great place to hold meetings and seminars. Good aesthetics too.
The Oml Center,"36/F, One Corporate Center,  Julia Vargas Avenue corner Merlaco Avenue, Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)89822276,                            0,
The Orient Square Condominium Association,"F. Ortigas Jr. Road, Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)86364627,                            0,
"The Penbrothers International, Incorporated","Opl Building, 100 Don C Palanca Jr Street, Makati City, Metro Manila ",+63(2)88933534,                            0,
The Prestige Tower,"F. Ortigas Jr. Road, Ortigas Center, Barangay San Antonio, Pasig City 1605 Metro Manila ",+63(2)86382846,                            0,
The Westpark Leisure Hub,"Magsaysay Avenue, Naga City 4400 Camarines Sur ",+63(054)4783029,                            0,
Time Realty,"Rm. 324, Isabel Building,  F. Cayco & Extramadura Sts, City of Manila 1000 Metro Manila ",+63(2)87403105,                            0,
Tivoli Garden Residences Corporation,"Tivoli Gardens, 69, Coronado Street, Barangay Hulo, Mandaluyong City, Metro Manila ",+63(2)86959778,                            0,
Tonette Realty & Family  Corporation,"3216, Kalayaan Avenue, Makati City, Metro Manila ",+63(2)88819805,                            0,
Tonilyn Construction,"Natl Hwy, Ramon 3319 Isabela ",+63(78)8592087,                            0,
"Top Frontier Investment Holdings, Inc.","5/F Enz0 Bldg. 399 Sen.Gil Puyat Ave. , Brgy Bel-air, Makati City 1200 Metro Manila ",+63(2)86323431,                            0,
Topaz Realty And Development,"147, M Roxas Street, Baguio City, Benguet ",+63(74)4435959,                            0,
Toplite Development Corporation,"2622, P. Ocampo Street, Malate, City of Manila, Metro Manila ",+63(2)82525877,                            0,
Topten Global LK Properties & Consultancy Inc,"906, The Finance Centre BGC Taguig, 26th street corner 9th avenue, Taguig City, Metro Manila ",+63(2)86436228,                            0,
"Topten Global Lk Properties & Consultancy, Incorporated","Aic Grande Tower Condominium, Garnet Road, Pasig City, Metro Manila ",+63(2)86501140,                            0,
Torno Realty,"V Tiomico Street, San Fernando City, Pampanga ",+63(45)9612692,                            0,
Toronto Commercial,"1343 A Mendoza Manila, Brgy 319, City of Manila 1003 Metro Manila ",+63(2)83537377,                            0,
"Torrington Commercial Sales, Incorporated","655, Florentino Torres Street, Sta Cruz, City of Manila, Metro Manila ",+63(2)87336073,                            0,
Total Corporate Network,"Suite W-1903 B 19th Floor West Tower, Philippine Stock Exchange Centre,  Exchange Road, Ortigas Center, San Antonio, Pasig City 1605 Metro Manila ",+63(2)86370450,                            0,
Total Performance Distibution,"North Montilla Boulevard, Butuan City, Agusan Del Norte ",+63(85)8160864,                            0,
Tpa Industrial,"7496 Bagtikan Street, San Antonio Village, Makati City 1200 Metro Manila ",+63(2)88908052,                            0,
Transphil Land  Corporation,"P Ocampo Townhomes, 1218, P Ocampo Sr Street, City of Manila, Metro Manila ",+63(2)85231284,                            0,
"Sm Prime Holdings, Inc","TwoE-Com,  Bayshore Avenue, Mall of Asia Complex, Pasay City, Metro Manila ",+63(2)87794988,                            0,
Un Tourist Arcade,"450 Un Avenue, City of Manila 1000 Metro Manila ",+63(2)85212736,                            0,
Union Bank,"UnionBank Plaza, Meralco Avenue corner Onyx and Sapphire Roads, Ortigas Center, Pasig City 1605  Metro Manila ",+63(02)79146787,                            0,
Universal Tower,"1487 Quezon Universal Tower, Brgy West Triangle, Quezon City 1104 Metro Manila ",+63(2)83739091,                            0,
"Var Buildings, Incorporated","Rufino Var Building, 6784 Ayala Avenue, Makati City, Metro Manila ",+63(2)88101186,                            0,
Var Buildings,"Alcazar Building, City of Manila, Metro Manila ",+63(2)87332733,                            0,
